stid,name,state,country,county,cwa,nwszone,timezone,elevation_ft,lat,lon,mnet_id,air_temp_min_f,valid_time,period_start_local,period_end_local,period_start_utc,period_end_utc,count
UP875,LAWTEL,LA,US,,,,America/Chicago,68.0,30.51779,-92.20221,64,-50.0,2026-04-24T01:17:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,12
UP880,POWELL,LA,US,,,,America/Chicago,59.0,30.50125,-92.39713,64,-39.0,2026-04-24T00:04:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,14
UP172,KROTZS,LA,US,,,,America/Chicago,49.0,30.54060,-91.74199,64,19.0,2026-04-24T02:58:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,11
KGZH,"Evergreen, Middleton Field",AL,US,,,,America/Chicago,256.0,31.41889,-87.04806,1,51.8,2026-04-24T04:55:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,75
USA20,Castleberry,AL,US,,,,America/Chicago,250.0,31.29580,-87.03130,3011,52.6,2026-04-24T05:45:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,346
AU216,W5XN Carriere,MS,US,,,,America/Chicago,116.5,30.63867,-89.70283,65,54.0,2026-04-24T05:14:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,69
AV775,KJ4EWA Milton,FL,US,,,,America/Chicago,89.0,30.65283,-87.11950,65,54.0,2026-04-24T04:58:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,69
F4737,FW4737 Nokomis,AL,US,,,,America/Chicago,240.03,31.02712,-87.59266,65,54.0,2026-04-24T05:25:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,67
MVSA1,Mt. Vernon,AL,US,,,,America/Chicago,53.0,31.09050,-87.99870,3011,54.7,2026-04-24T05:42:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,345
E0390,EW0390 Calvert,AL,US,,,,America/Chicago,52.4,31.14667,-87.99883,65,55.0,2026-04-24T05:17:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,58
G3222,GW3222 Waynesboro,MS,US,,,,America/Chicago,167.0,31.67737,-88.67066,65,55.0,2026-04-24T03:45:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,24
G5434,GW5434 EASTABUCHIE,MS,US,,,,America/Chicago,190.0,31.45250,-89.28433,65,55.0,2026-04-24T03:15:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,24
BRXA1,USCRN SITE NEAR BREWTON 3NNE,AL,US,,,,America/Chicago,187.0,31.14500,-87.05167,123,55.1,2026-04-24T04:45:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,61
MSS28,Beaumont,MS,US,,,,America/Chicago,171.0,31.23583,-88.92188,236,55.9,2026-04-24T04:00:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,23
AW025,KF5WKW CANTONMENT,FL,US,,,,America/Chicago,65.0,30.54533,-87.33683,65,56.0,2026-04-24T05:05:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,35
F7679,FW7679 Slidell,LA,US,,,,America/Chicago,14.76,30.22717,-89.80317,65,56.0,2026-04-24T02:20:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,68
G1824,KD1DRM POPLARVILLE,MS,US,,,,America/Chicago,264.01,30.85000,-89.52000,65,56.0,2026-04-24T03:00:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,24
G1930,GW1930 CHATOM,AL,US,,,,America/Chicago,154.2,31.45100,-88.19617,65,56.0,2026-04-24T03:15:00-0500,2026-04-24T00:00:00-05:00,2026-04-25T00:00:00-05:00,2026-04-24T05:00:00+00:00,2026-04-25T05:00:00+00:00,24
