stid,name,state,country,county,cwa,nwszone,timezone,elevation_ft,lat,lon,mnet_id,air_temp_f,valid_time
GCPPTA1,"PPTA - Perdido Pass, AL",AL,US,,,,America/Chicago,0.0,30.2791,-87.5561,315,89.4,2026-04-30T21:00:00Z
KHUM,Houma-Terrebonne Airport,LA,US,,,,America/Chicago,3.0,29.56341,-90.66283,1,84.2,2026-04-30T21:47:00Z
LSU10,Houma,LA,US,,,,America/Chicago,5.0,29.63415,-90.84385,256,83.0,2026-04-30T21:16:00Z
E5037,EW5037 Houma,LA,US,,,,America/Chicago,1.51,29.53683,-90.67167,65,83.0,2026-04-30T22:03:00Z
D7368,DW7368 Pecan Island,LA,US,,,,America/Chicago,3.0,29.64983,-92.4195,65,83.0,2026-04-30T22:00:00Z
KVOA,VK 786/Petronius (Chevron),LA,US,,,,Etc/GMT+6,53.0,29.22900,-87.78100,1,82.4,2026-04-30T21:55:00Z
KPTN,Patterson Memorial,LA,US,,,,America/Chicago,10.0,29.71667,-91.33333,1,82.4,2026-04-30T22:05:00Z
D8180,DW8180 Pace,FL,US,,,,America/Chicago,43.0,30.58917,-87.15283,65,82.0,2026-04-30T22:05:00Z
KGAO,"Galliano, South Lafourche Airport",LA,US,,,,America/Chicago,0.0,29.44472,-90.26111,1,81.5,2026-04-30T21:55:00Z
NDBCAMRL1,"8764227 - LAWMA, Amerada Pass, LA",,,,,,America/Chicago,0.0,29.45,-91.338,286,81.0,2026-04-30T21:00:00Z
F6606,FW6606 Foley,AL,US,,,,America/Chicago,609.38,30.43121,-87.65821,65,81.0,2026-04-30T22:00:00Z
D7066,DW7066 Pensacola,FL,US,,,,America/Chicago,108.27,30.46217,-87.19167,65,81.0,2026-04-30T22:05:00Z
NDBCKVOA,Viosca Knoll 786 / Petronius (Chevron),,,,,,Etc/GMT+6,,29.229,-87.781,286,80.6,2026-04-30T21:35:00Z
KMTK,SOUTH PASS 89E,,,,,,Etc/GMT+6,164.0,28.70000,-89.40000,108,80.6,2026-04-30T21:35:00Z
TESL1,Berwick,LA,US,,,,America/Chicago,10.0,29.66750,-91.23761,122,80.0,2026-04-30T22:00:00Z
GISL1,Grand Isle,LA,US,,,,America/Chicago,0.0,29.26330,-89.95670,122,80.0,2026-04-30T21:48:00Z
G7241,GW7241 PENSACOLA,FL,US,,,,America/Chicago,49.21,30.42783,-87.19417,65,80.0,2026-04-30T22:03:00Z
FRWL1,Freshwater Canal Locks,LA,US,,,,America/Chicago,0.0,29.55500,-92.30500,122,80.0,2026-04-30T22:00:00Z
F4663,FW4663 Thibodaux,LA,US,,,,America/Chicago,5.61,29.77467,-90.78567,65,80.0,2026-04-30T22:00:00Z
BONA1,BONSECOUR,AL,US,,,,America/Chicago,20.0,30.252780,-87.8125,2,80.0,2026-04-30T21:50:00Z
AMRL1,LAWMA,LA,US,,,,America/Chicago,3.0,29.44958,-91.33811,122,80.0,2026-04-30T22:00:00Z
0327W,Gulf Breeze High School,FL,US,,,,America/Chicago,26.0,30.35847,-87.16718,249,80.0,2026-04-30T22:00:00Z
1684W,FSWN Escambia Beulah Fire Station,FL,US,,,,America/Chicago,131.0,30.53630,-87.39425,249,79.8,2026-04-30T22:00:00Z
NDBCPILL1,"8760721 - Pilottown, LA",LA,US,,,,America/Chicago,7.55,29.179,-89.259,286,79.5,2026-04-30T21:00:00Z
NDBCGISL1,"8761724 - Grand Isle, LA",,,,,,America/Chicago,8.86,29.265,-89.958,286,79.5,2026-04-30T21:00:00Z
NDBCFRWL1,"8766072 - Freshwater Canal Locks, LA",LA,US,,,,America/Chicago,6.89,29.552,-92.305,286,79.5,2026-04-30T21:00:00Z
0904W,Pace High School,FL,US,,,,America/Chicago,131.0,30.61265,-87.15355,249,79.4,2026-04-30T22:00:00Z
PCLF1,Pensacola,FL,US,,,,America/Chicago,13.0,30.40440,-87.21120,122,79.3,2026-04-30T21:54:00Z
NDBCTESL1,"8764044 - Tesoro Marine Terminal, Berwick, Atchafalaya River, LA",LA,US,,,,America/Chicago,0.0,29.668,-91.237,286,79.2,2026-04-30T21:00:00Z
NDBCEINL1,"8764314 - North of Eugene Island, LA",,,,,,America/Chicago,19.68,29.373,-91.384,286,79.0,2026-04-30T21:00:00Z
NDBC42084,"Southwest Pass Entrance W, LA (256)",,,,,,Etc/GMT+6,0.0,28.988,-89.649,286,79.0,2026-04-30T21:00:00Z
G6990,GW6990 PACE,FL,US,,,,America/Chicago,144.36,30.65700,-87.14667,65,79.0,2026-04-30T22:02:00Z
