stid,name,state,country,county,cwa,nwszone,timezone,elevation_ft,lat,lon,mnet_id,window_start_utc,window_end_utc,precip_in,first_report,last_report,report_type,count
G0933,GW0933 Pensacola,FL,US,,,,America/Chicago,16.4,30.26633,-87.26533,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,3.57,2026-05-01T16:03:00-0500,2026-05-02T15:45:00-0500,precip_accum_since_local_midnight,332
C9352,CW9352 Pensacola,FL,US,,,,America/Chicago,19.91,30.33417,-87.35500,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,3.51,2026-05-01T16:00:00-0500,2026-05-02T15:50:00-0500,precip_accum_since_local_midnight,143
F4411,FW4411 Milton,FL,US,,,,America/Chicago,5.28,30.46000,-87.09667,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,3.45,2026-05-01T16:03:00-0500,2026-05-02T15:53:00-0500,precip_accum_since_local_midnight,190
E0390,EW0390 Calvert,AL,US,,,,America/Chicago,52.4,31.14667,-87.99883,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,3.44,2026-05-01T16:00:00-0500,2026-05-02T15:41:00-0500,precip_accum_since_local_midnight,250
F7996,FW7996 Perdido Key,FL,US,,,,America/Chicago,8.96,30.32700,-87.36833,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,3.08,2026-05-01T16:00:00-0500,2026-05-02T15:50:00-0500,precip_accum_since_local_midnight,142
C5236,CW5236 PENSACOLA,FL,US,,,,America/Chicago,83.66,30.47172,-87.31883,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,2.99,2026-05-01T16:00:00-0500,2026-05-02T15:55:00-0500,precip_accum_since_local_midnight,287
G5321,GW5321 PENSACOLA,FL,US,,,,America/Chicago,7.91,30.29617,-87.42867,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,2.95,2026-05-01T16:04:00-0500,2026-05-02T15:54:00-0500,precip_accum_since_local_midnight,282
E4624,EW4624 Pensacola,FL,US,,,,America/Chicago,4.0,30.30633,-87.42333,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,2.82,2026-05-01T16:00:00-0500,2026-05-02T15:45:00-0500,precip_accum_since_local_midnight,95
G7241,GW7241 PENSACOLA,FL,US,,,,America/Chicago,49.21,30.42783,-87.19417,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,2.7,2026-05-01T16:03:00-0500,2026-05-02T15:52:00-0500,precip_accum_since_local_midnight,282
AU112,KA5ZCI Laplace,LA,US,,,,America/Chicago,7.0,30.06017,-90.44817,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,2.7,2026-05-01T16:00:00-0500,2026-05-02T15:55:00-0500,precip_accum_since_local_midnight,238
G4271,GW4271 GULF BREEZE,FL,US,,,,America/Chicago,14.99,30.38633,-87.05217,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,2.62,2026-05-01T16:03:00-0500,2026-05-02T15:52:00-0500,precip_accum_since_local_midnight,282
G2037,GW2037 WILMER,AL,US,,,,America/Chicago,241.01,30.87717,-88.25950,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,2.62,2026-05-01T16:01:00-0500,2026-05-02T15:57:00-0500,precip_accum_since_local_midnight,276
D4135,DW4135 Milton,FL,US,,,,America/Chicago,150.66,30.66033,-87.04733,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,2.56,2026-05-01T16:01:00-0500,2026-05-02T15:53:00-0500,precip_accum_since_local_midnight,229
USA1,USA West,AL,US,,,,America/Chicago,170.0,30.69440,-88.19440,3011,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,2.54,2026-05-01T16:02:00-0500,2026-05-02T15:49:00-0500,precip_accum_one_minute,1427
G2175,GW2175 SPANISH FORT,AL,US,,,,America/Chicago,108.27,30.66967,-87.91600,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,2.54,2026-05-01T16:04:00-0500,2026-05-02T15:59:00-0500,precip_accum_since_local_midnight,283
MVSA1,Mt. Vernon,AL,US,,,,America/Chicago,53.0,31.09050,-87.99870,3011,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,2.39,2026-05-01T16:02:00-0500,2026-05-02T15:49:00-0500,precip_accum_one_minute,1427
D4362,DW4362 Milton,FL,US,,,,America/Chicago,154.0,30.66826,-87.06036,65,2026-05-01T21:02:00+00:00,2026-05-02T21:02:00+00:00,2.35,2026-05-01T16:01:00-0500,2026-05-02T15:31:00-0500,precip_accum_since_local_midnight,82
