stid,name,state,lat,lon,mnet_id,timezone,precip_in,first_report,last_report,report_type,count
1774W,Cottage Hill Christian Academy,AL,30.65139,-88.21527,249,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,142
2117W,Foley Elementary School,AL,30.40956,-87.69092,249,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,142
AR152,KC5LIO Fairhope,AL,30.51833,-87.81717,65,America/Chicago,0.0,2026-04-17T12:02:00Z,2026-04-18T12:02:00Z,precip_accum_since_local_midnight,80
AS256,KF4IRC Mobile,AL,30.668,-88.1145,65,America/Chicago,0.0,2026-04-17T12:05:00Z,2026-04-18T12:06:00Z,precip_accum_since_local_midnight,14
AW503,KX4DU FAIRHOPE,AL,30.491,-87.87483,65,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,288
AW575,N4SZO-7 MOBILE,AL,30.632,-88.1785,65,America/Chicago,0.0,2026-04-17T11:57:00Z,2026-04-18T11:57:00Z,precip_accum_since_local_midnight,277
BMTA1,Bay Minette FS,AL,30.8804,-87.7814,3011,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_one_minute,1440
BONA1,BONSECOUR,AL,30.25278,-87.8125,2,America/Chicago,0.0,2026-04-17T11:50:00Z,2026-04-18T11:50:00Z,precip_accum,24
BRXA1,USCRN SITE NEAR BREWTON 3NNE,AL,31.145,-87.05167,123,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_one_hour,24
BWMA1,MURDER CREEK AT HWY 41 and 29 AT BREWTON,AL,31.10083,-87.06889,106,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum,96
C1353,CW1353 Mobile,AL,30.60783,-88.25833,65,America/Chicago,0.0,2026-04-17T12:03:00Z,2026-04-18T12:03:00Z,precip_accum_since_local_midnight,144
COOPGREA1,GREENSBORO,AL,32.69212,-87.57603,73,America/Chicago,0.0,2026-04-17T13:00:00Z,2026-04-18T13:00:00Z,precip_accum_24_hour,1
COOPMRFA1,MILLERS FERRY L&D,AL,32.1002,-87.3982,77,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_24_hour,1
D1458,DW1458 Foley,AL,30.404,-87.66983,65,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,90
D2686,DW2686 Robertsdale,AL,30.5255,-87.7285,65,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,288
D6471,DW6471 Daphne,AL,30.63016,-87.8672,65,America/Chicago,0.0,2026-04-17T12:02:00Z,2026-04-18T11:59:00Z,precip_accum_since_local_midnight,280
D9919,DW9919 Gulf Shores,AL,30.28783,-87.51133,65,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,96
E0390,EW0390 Calvert,AL,31.14667,-87.99883,65,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T11:57:00Z,precip_accum_since_local_midnight,253
E6361,EW6361 Orange Beach,AL,30.304,-87.476,65,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,96
E7714,EW7714 Mobile,AL,30.6855,-88.27967,65,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,204
F0177,FW0177 Thomasville,AL,31.8825,-87.7445,65,America/Chicago,0.0,2026-04-17T12:01:00Z,2026-04-18T12:01:00Z,precip_accum_since_local_midnight,96
F1728,FW1728 Butler,AL,32.08933,-88.22283,65,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,96
F3872,FW3872 Orange Beach,AL,30.2845,-87.58183,65,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,288
F4737,FW4737 Nokomis,AL,31.02712,-87.59266,65,America/Chicago,0.0,2026-04-17T11:59:00Z,2026-04-18T11:57:00Z,precip_accum_since_local_midnight,276
F6606,FW6606 Foley,AL,30.43121,-87.65821,65,America/Chicago,0.0,2026-04-17T12:01:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,96
F9403,FW9403 Summerdale,AL,30.48733,-87.74317,65,America/Chicago,0.0,2026-04-17T11:59:00Z,2026-04-18T11:59:00Z,precip_accum_since_local_midnight,285
FRPA1,USCRN SITE NEAR FAIRHOPE 3NE,AL,30.54861,-87.87583,123,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum,24
FSHA1,FISH RIVER NEAR SILVERHILL 3W,AL,30.54528,-87.79861,106,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum,96
G1930,GW1930 CHATOM,AL,31.451,-88.19617,65,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,96
G2037,GW2037 WILMER,AL,30.87717,-88.2595,65,America/Chicago,0.0,2026-04-17T12:02:00Z,2026-04-18T11:59:00Z,precip_accum_since_local_midnight,282
G2175,GW2175 SPANISH FORT,AL,30.66967,-87.916,65,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,285
G2193,GW2193 GULF SHORES,AL,30.26933,-87.677,65,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,96
G2672,GW2672 West Mobile,AL,30.6795,-88.24017,65,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,96
G2684,GW2684 Robertsdale,AL,30.53967,-87.71467,65,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:01:00Z,precip_accum_since_local_midnight,288
G4508,GW4508 MONROEVILLE,AL,31.46317,-87.35017,65,America/Chicago,0.01,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,96
G4772,GW4772 GATESWOOD,AL,30.70833,-87.54767,65,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,96
G4878,GW4878 CITRONELLE,AL,31.0905,-88.229,65,America/Chicago,0.0,2026-04-17T12:00:00Z,2026-04-18T12:00:00Z,precip_accum_since_local_midnight,96
